Plant_ID,Type,sci_name,Common_Name,Native,Naturalized,CoC,Endemic,Persisting,Status_State,Status_US,nwpl_emp,nwpl_ncne,State_Rank,Global_Rank,Category,Habitat,Growth_Habit,Duration,,
530,Accepted Name,alnus incana ssp. rugosa,speckled alder,Y,,5,N,Y,,,FACU,FACW,S5,G5T5,Vascular,"Forms dense thickets along drainage channels, edges of streams, edges of lakes, fens, bogs, marshes, and forested swamps. A common wetland shrub that occurs in numerous wetland habitats.","Tree, Shrub",Perennial,,
540,Accepted Name,alnus serrulata,smooth alder,Y,,6,N,Y,,,OBL,OBL,S5,G5,Vascular,"Stream banks, wet thickets, and ditches. A southern species it is most common in southeastern NY.","Tree, Shrub",Perennial,,
57,Accepted Name,amaranthus cannabinus,saltmarsh water hemp,Y,,4,N,Y,,,OBL,OBL,S5,G5,Vascular,Brackish and fresh water tidal marshes.  This species usually occurs upslope from mud flats in denser taller herbaceous dominated tidal marshes.,Forb/herb,Perennial,,
49,Accepted Name,amaranthus hybridus ssp. hybridus,green amaranth,Y,,0,N,Y,,,,,SNR,G5?,Vascular,A very common weed in agricultural fields.  Also in waste places.,Forb/herb,Annual,,
6328,Accepted Name,amaranthus retroflexus,red-rooted amaranth,Y,,0,N,Y,,,FACU,FACU,S5,,Vascular,Agricultural fields and waste places.,Herbaceous,Annual,,
184,Accepted Name,ambrosia artemisiifolia,common ragweed,Y,,0,N,Y,,,FACU,FACU,S5,G5,Vascular,"A very weedy native species. Cultivated ground, roadsides, waste places, barnyards, thin dry exposed soils of rocky or forest opening, seasonally exposed cobble bars in streams.  Along roads this plant can be quite thick, although dwarfed, and grows very close to edge of the tarmac.  In native habitats it usually does not get as tall and robust as in cultivated ground. ",Forb/herb,Annual,,
7071,Accepted Name,ambrosia trifida,giant ragweed,Y,,3,N,Y,,,FAC,FAC,S4,,Vascular,"Successional fields, waste places, and floodplains including floodplain forests.  In New York this species is not as weedy as A. artemisiifolia.",Herbaceous,Annual,,
6541,Accepted Name,amphicarpaea bracteata,hog peanut,Y,,5,N,Y,,,FAC,FAC,S5,,Vascular,Mesic hardwood forests and forested thickets. Sometimes occurs in wet-mesic soils but usually more of a mesic soil species.,Vine,Perennial,,
187,Accepted Name,anaphalis margaritacea,pearly everlasting,Y,,2,N,Y,,,UPL,FACU,S5,G5,Vascular,"Much more common in northern parts of the state.  Cut forests, edges of forests, roadsides, and successional old fields often in thin sterile soils.",Forb/herb,Perennial,,
2577,Accepted Name,anemone canadensis,Canada anemone,Y,,5,N,Y,,,FACW,FACW,S5,G5,Vascular,"Low forests and thickets, edges of lakes and streams, and fens. Predominately in mesic to wet calcareous soils but occasionally in drier situations.",Forb/herb,Perennial,,
2569,Accepted Name,anemone cylindrica,long-headed anemone,Y,,7,N,Y,,,,,S5,G5,Vascular,,Forb/herb,Perennial,,
2580,Accepted Name,anemone quinquefolia var. quinquefolia,wood anemone,Y,,7,N,Y,,,FACU,FACU,S5,G5,Vascular,"Mesic thickets, forests, forest edges, and edges of streams often in valley bottoms.",Forb/herb,Perennial,,
2582,Accepted Name,anemone virginiana,"tall anemone, thimbleweed",Y,,5,N,Y,,,FACU,FACU,S5,G5T5,Vascular,"Thickets, vegetated roadsides, dry-mesic forests and woodlands, openings in forests, and stream sides in dry to mesic soils.",Forb/herb,Perennial,,
2332,Accepted Name,anthoxanthum nitens ssp. nitens,vanilla sweet grass,Y,,8,N,Y,,,FACW,FACW,S5,,Vascular,Upper edges of salt marshes.,Graminoid,Perennial,,
2047,Accepted Name,aphyllon uniflorum,one-flowered broomrape,Y,,4,N,Y,,,FACU,UPL,S4,G5,Vascular,Mesic forests and fields. Parasitic on various plants. Somewhat local in distribution and populations are often small.,Forb/herb,Annual,,
122,Accepted Name,apocynum cannabinum,Indian hemp,Y,,2,N,Y,,,FACU,FAC,S5,G5,Vascular,"Dry thin forests, rocky openings, fields, thickets, gravely stream banks, and roadsides. It is also occasionally found in marshes.",Forb/herb,,,
2583,Accepted Name,aquilegia canadensis,"wild columbine, red columbine",Y,,5,N,Y,,,FAC,FACU,S5,G5,Vascular,"Cliffs, ledges, talus slopes, on or adjacent to forested rock outcrops, and edges of paths and dirt roads through forests often associated with calcareous soils and/or bedrock",Forb/herb,Perennial,,
615,Accepted Name,arabidopsis lyrata ssp. lyrata,lyre-leaved rock cress,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,"Ledges, rock outcrops, and woodlands. Mostly on dry rocks or thin dry soils over bedrock. Sometimes in more mesic conditions.",Forb/herb,Biennial,,
2310,Accepted Name,aristida dichotoma var. dichotoma,church mouse threeawn,Y,,3,N,Y,,,UPL,FACU,S5,G5,Vascular,"Rocky summits, opening in forests, dirt roads, and utility rights-of-way in dry thin soils.",Graminoid,Annual,,
2222,Accepted Name,aristida geniculata,Kearney’s threeawn,Y,,5,N,Y,,,UPL,FACU,S1,G5T5?,Vascular,,Graminoid,,,
2706,Accepted Name,aronia arbutifolia,red chokeberry,Y,,7,N,Y,,,FACW,FACW,S4,G5,Vascular,"Swamps, marshes, wet thickets, lake edges, and peatlands.","Tree, Shrub",Perennial,,
153,Accepted Name,asclepias syriaca,common milkweed,Y,,0,N,Y,,,FACU,UPL,S5,G5,Vascular,"Successional fields, occasionally clearings in forests, roadsides, and disturbed ground.",Forb/herb,Perennial,,
160,Accepted Name,asclepias tuberosa,butterfly weed,Y,,2,N,Y,,,,,S4,G5?T5?,Vascular,"Dry-mesic roadsides, edges of railroads, successional fields, meadows, and dry banks of streams.  Does particularly well over calcareous rock.",Herbaceous,Perennial,,
164,Accepted Name,asclepias verticillata,whorled milkweed,Y,,9,N,Y,Rare-State,,FACU,UPL,S2,G5,Vascular,"Thin rocky forests, rocky summits, and woodlands of a southern affinity.",Forb/herb,Perennial,,
6267,Accepted Name,asplenium platyneuron,ebony spleenwort,Y,,5,N,Y,,,FACU,FACU,S5,,Vascular,"Thin deciduous forests, rocky summits, thickets, sometimes on or near rock, and occasionally successional old fields. Mostly in dry-mesic to mesic soils and not occurring in the most acidic soils and perhaps more abundant in more mineral rich sites. This species appears to be increasing in New York.",Herbaceous,Perennial,,
175,Accepted Name,asplenium trichomanes ssp. trichomanes,diploid maidenhair spleenwort,Y,,9,N,Y,,,FAC,UPL,S4?,G5,Vascular,,Forb/herb,Perennial,,
1393,Accepted Name,astragalus neglectus,Cooper’s milk vetch,Y,,10,N,Y,Endangered-State,,FACU,FACU,S1,G4,Vascular,"Calcareous dry bluffs, shale and fine talus slopes, and upper slopes in open forests and woodlands.",Forb/herb,Perennial,,
1269,Accepted Name,athyrium angustum,northern lady fern,Y,,5,N,Y,,,FAC,FAC,S5,G5T5,Vascular,"The more common of the two subspecies in New York. Hardwood or hardwood-coniferous forests, margins of streams, wet depressions in forests, and occasionally edges of forests. Primarily and understory herb that likes mesic to wet-mesic soils and usually does not occur in soils that are perennially saturated.",Fern,Perennial,,
831,Accepted Name,atriplex mucronata,seabeach orach,Y,,6,N,Y,,,FAC,FAC,SNR,G5,Vascular,Upper edges of salt marshes and adjacent sandy maritime areas.,Forb/herb,,,
2930,Accepted Name,aureolaria virginica,downy false foxglove,Y,,7,N,Y,,,,,S5,G5,Vascular,"Hardwood forests, woodlands, and forest edges with oaks often in thin dry to dry-mesic soils.",Forb/herb,Perennial,,
2380,Accepted Name,avenella flexuosa,common hair grass,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,"Dry to dry-mesic forests, woodlands, and open habitat including barrens with thin often rocky or gravelly acidic soils.",Graminoid,Perennial,,
518,Accepted Name,azolla cristata,mosquito fern,Y,,2,N,Y,,,  ,OBL,SNR,G5,Vascular,"Still or slow moving water of lakes, ponds, and streams. Sometimes becoming very abundant.",Forb/herb,Annual,,
215,Accepted Name,baccharis halimifolia,groundsel tree,Y,,7,N,Y,,,FACW,FACW,S5,G5,Vascular,Upper edge of salt or brackish tidal marshes and adjacent upland maritime areas.,"Tree, Shrub",Perennial,,
551,Accepted Name,betula populifolia,gray birch,Y,,4,N,Y,,,FAC,FAC,S5,G5,Vascular,"Woodlands, pine barrens, edges of forests, bluffs, successional fields, thickets, disturbed ground, and road sides on thin often rocky poor soils. Responds well to disturbance including fire.",Tree,Perennial,,
270,Accepted Name,bidens bipinnata,Spanish needles,Y,,0,N,Y,,,FACU,FACU,S4,G5,Vascular,,Forb/herb,Annual,,
6965,Accepted Name,bidens frondosa,devil’s beggar ticks,Y,,2,N,Y,,,FACW,FACW,S5,,Vascular,"A wide variety of wetlands as well as disturbed areas.  Banks of streams, pond margins, marshes, roadside ditches, wet to mesic disturbed areas, and floodplains.  Along with B. connata one of our most common Bidens. ",Herbaceous,Annual,,
6966,Accepted Name,bidens laevis,smooth beggar ticks,Y,,6,N,Y,Threatened-State,,OBL,OBL,S2,,Vascular,Tidal fresh water marshes.,Herbaceous,Annual,,
3051,Accepted Name,boehmeria cylindrica,false nettle,Y,,7,N,Y,,,FACW,OBL,S5,G5,Vascular,"Wet to seasonally wet areas in bottomland forests, low areas in swamps, marshy areas in forested streams, and marshes. Primarily but not restricted to shaded habitats with slightly inundated to wet soils (at least seasonally). Sometimes forming dense large populations.",Forb/herb,Perennial,,
6764,Accepted Name,bolboschoenus maritimus ssp. paludosus,American saltmarsh bulrush,Y,,8,N,Y,Threatened-State,,OBL,OBL,S2,,Vascular,"Coastal and inland salt marshes, edges of inland salt ponds, and swales and ditches with saline or brackish water. In non-tidal situations it often grows in standing water, at least seasonally, up to 1-2 meters deep.",Herbaceous,Perennial,,
6763,Accepted Name,bolboschoenus robustus,seacoast bulrush,Y,,9,N,Y,,,OBL,OBL,SNR,,Vascular,Coastal salt marshes.,Herbaceous,Perennial,,
617,Accepted Name,borodinia laevigata,smooth rock cress,Y,,7,N,Y,,,,,S5,G5,Vascular,"Slopes of mesic to dry-mesic forests, woodlands, ledges, rock outcrops, and thin soil over bedrock. On limestone and calcareous soils and more acidic rocks and soils.",Forb/herb,Biennial,,
1982,Accepted Name,botrychium dissectum,dissected grape fern,Y,,3,N,Y,,,FAC,FAC,S5,G5,Vascular,"Fields, pastures, successional forests, mesic forests, forest clearings, utility rights-of-way, and edges of dirt roads. Mostly in thin poor dry to mesic soils in areas of past disturbance.",Forb/herb,Perennial,,
1985,Accepted Name,botrychium virginianum,rattlesnake fern,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,Rich mesic hardwood forests.,Forb/herb,Perennial,,
2190,Accepted Name,bromus pubescens,Canada brome,Y,,8,N,Y,,,FACU,FACU,S5,G5,Vascular,Dry often calcareous open forests or woodlands with moderate to low density of adjacent herbaceous vegetation.,Graminoid,Perennial,,
6789,Accepted Name,bulbostylis capillaris,tufted hair sedge,Y,,0,N,Y,,,FACU,FACU,S5,,Vascular,"Roadsides, rocky summits, and disturbed soils in open areas. Prefers coarse or sandy soils usually in acidic regions.",Herbaceous,Annual,,
2584,Accepted Name,caltha palustris,marsh marigold,Y,,4,N,Y,,,OBL,OBL,S5,G5,Vascular,"Forest and shrub swamps, marshes, backwater sloughs of streams, rich fens, and seeps. Predominately in shallow still water with mucky soils. Sometimes forming large dense populations.",Forb/herb,Perennial,,
6290,Accepted Name,capnoides sempervirens,"rock harlequin, pink corydalis",Y,,8,N,Y,,,,,S4,,Vascular,"Cracks in rock outcrops and soils adjacent to exposed bedrock on rocky summits, cliffs, ledges, and woodlands. Primarily on acidic rocks in open exposed habitats but sometimes in more shaded rocky sites.",Herbaceous,Perennial,,
619,Accepted Name,cardamine diphylla,two-leaved toothwort,Y,,7,N,Y,,,FACU,FACU,S5,G5,Vascular,"Rich mesic deciduous forests, seepage areas, bottomlands, and stream banks. Growing in richer often slightly wetter soils than C. concatenata but in places growing together. Much less common in cooler parts of NY.",Forb/herb,Perennial,,
1022,Accepted Name,carex abscondita,concealed sedge,Y,,10,N,Y,Endangered-State,,FAC,FACU,S1,G4G5,Vascular,"Mesic forest and low forests adjacent to small streams in sandy soils. In New York, it may be restricted to the coastal regions. It has been reported from other parts of New York but these specimens may be misidentified.",Graminoid,Perennial,,
1099,Accepted Name,carex annectens,yellow-fruited sedge,Y,,1,N,Y,,,FACW,FACW,S5,G5,Vascular,"Dry to wet fields, openings in mesic forests, gravel pits, and edge of ponds. Apparently more common in eastern and southeastern New York.",Graminoid,Perennial,,
955,Accepted Name,carex blanda,common woodland sedge,Y,,4,N,Y,,,FAC,FAC,S5,G5?,Vascular,"Forests, edges of forests, fields, edges of small streams, paths and roads through forests, railroad edges, and utility rights-of-way. Occurs in a variety of forests including bottomlands as well as more open sites. Usually in mesic but also in dry-mesic to wet soils.",Graminoid,Perennial,,
6808,Accepted Name,carex cephaloidea,cluster-headed sedge,Y,,4,N,Y,,,FAC,FACU,S5,,Vascular,"Forests, forest edges, thickets, and edges of fields. Predominately in mesic rich soils including deep alluvium.",Herbaceous,Perennial,,
966,Accepted Name,carex cephalophora,oval-headed sedge,Y,,5,N,Y,,,FACU,FACU,S5,G5,Vascular,"Forests, woodlands, rocky summits, and rarely fields. On upper slopes and summits. Usually in areas with some tree canopy although it occasionally occurs in open habitats. Mostly in dry to mesic rocky or thin soils often with thin adjacent herbaceous vegetation.",Graminoid,Perennial,,
1006,Accepted Name,carex emmonsii,Emmons’s sedge,Y,,8,N,Y,Rare-State,,UPL,UPL,S3,G5T5,Vascular,"Dry-mesic forests, forest edges, thickets, and graminoid dominated bluffs above the ocean. Occurs on sandy soils mostly close to the coast. Inland populations need to be verified. This taxa may be worthy of specific status and although taxonomic research on C. albicans and its varieties has been done, further taxonomic research may still be helpful.",Graminoid,Perennial,,
1185,Accepted Name,carex hitchcockiana,Hitchcock’s sedge,Y,,8,N,Y,,,,,SNR,G5,Vascular,Rich hardwood forests. Often occurring on calcareous soils or bedrock with diverse and dense adjacent herbaceous vegetation.,Graminoid,Perennial,,
1132,Accepted Name,carex lurida,sallow sedge,Y,,4,N,Y,,,OBL,OBL,S5,G5,Vascular,"Marshes, openings in swamps, ditches and swales, wet fields, edges of streams and ponds, peaty acidic wetlands, and occasionally in calcareous wet habitats. A very common species that occurs in a wide variety of wetland sites that are mostly open and often acidic although it can occasionally be found in more basic sites.",Graminoid,Perennial,,
1090,Accepted Name,carex muehlenbergii var. enervis,Muhlenberg’s veinless sedge,Y,,7,N,Y,Rare-State,,,,S3,G5T5,Vascular,"Fields, openings in forests, woodlands, rocky summits, and utility rights-of-way. Mostly in xeric to dry-mesic rocky or sandy soils.",Graminoid,,,
1130,Accepted Name,carex radiata,narrow-leaved upland star sedge,Y,,7,N,Y,,,FAC,FAC,S5,G4,Vascular,"Rich forests, alluvial forests, and occasionally on the edges of swamps. Grows in mesic to seasonally wet soils.",Graminoid,Perennial,,
7142,Accepted Name,carex reznicekii,Reznicek’s sedge,Y,,8,N,Y,Endangered-State,,,,S1S2,G5,Vascular,"Predominately in mature mesic to dry-mesic forests with Carya and Quercus spp. dominant in the canopy. The shrub layer is often not dense. It is not restricted to, but does well over mafic and calcareous rocks.  A southern species reaching its northern limits in southeastern New York and southern New England.",Herbaceous,Perennial,,
1217,Accepted Name,carex rosea,common upland star sedge,Y,,7,N,Y,,,FACU,FACU,S5,G5,Vascular,Very common in dry to mesic young successional forests to more mature forests on various soil types.,Graminoid,Perennial,,
985,Accepted Name,carex rugosperma,wrinkle-seeded sedge,Y,,5,N,Y,,,,,S5,G5T5,Vascular,"Dry to mesic hardwood forests usually at least somewhat open, woodlands, pine barrens, fields, shale and fine talus slopes, road banks, paths through forests, and utility rights-of-way. Most common in dry sites with at least some canopy cover but also occasionally occurs in more open habitat. Sometimes occurring with var. tonsa. Grows in more acidic environments than C. umbellata although the two occasionally occur together.",Graminoid,Perennial,,
1214,Accepted Name,carex schweinitzii,Schweinitz’s sedge,Y,,9,N,Y,Threatened-State,,OBL,OBL,S2S3,G3,Vascular,"New York is one of the core areas for this globally rare species. Strongly calcareous, perennial wet, seepy habitats often in association with rich fens. It is commonly found on edges of fens. It also occurs in calcareous marshes, swamps, and shores. It does particularly well in and on the margins of rivulets and small drainage channels that have strongly calcareous water. This includes perennially wet roadside ditches which act as drainage channels.",Graminoid,Perennial,,
1225,Accepted Name,carex squarrosa,spreading-beaked sedge,Y,,3,N,Y,,,FACW,OBL,S5,G4G5,Vascular,"Wet fields, wet woods, and edges of streams. Very rare or absent from most of western and northern New York but becoming somewhat more common in eastern and southeastern parts of the state.",Graminoid,Perennial,,
1198,Accepted Name,carex umbellata,"parasol sedge, umbelled sedge",Y,,5,N,Y,,,,,S5,G5,Vascular,"Dry-to mesic hardwood forests, forested edges, woodlands, fields, rocky summits and mountain ridges, rock outcrops, bluffs, shale and fine talus slopes, dirt roads, road banks, paths, and utility rights-of-way. Is especially fond of slightly disturbed areas through open dry-mesic forests.",Graminoid,Perennial,,
1199,Accepted Name,carex vulpinoidea,fox sedge,Y,,2,N,Y,,,OBL,OBL,S5,G5,Vascular,"Wet fields, wet pastures, marshes, swamps, edges of ponds and streams, and wet ditches. A very common wetland species mostly growing in open sites with soils that are inundated to seasonally saturated.",Graminoid,Perennial,,
542,Accepted Name,carpinus caroliniana ssp. virginiana,"musclewood, ironwood, American hornbeam",Y,,6,N,Y,,,FAC,FAC,S5,G5T5,Vascular,"An understory small tree in deciduous forests. It does best in wet-mesic soils, lower parts of slopes, and stream banks. Also occurs in swamps and mesic forests. It can become a dominant understory tree in these habitats.","Tree, Shrub",Perennial,,
1636,Accepted Name,carya cordiformis,bitternut hickory,Y,,7,N,Y,,,FACU,FAC,S5,G5,Vascular,Floodplain forests and wet-mesic to mesic hardwood forests often low on slopes. A tree primarily of bottomlands in well-drained to wet soils but also occurs less frequently and in smaller numbers in drier habitats on upper slopes and hilltops.,Tree,Perennial,,
6295,Accepted Name,carya glabra,pignut hickory,Y,,7,N,Y,,,FACU,FACU,S5,,Vascular,"Rocky summits, woodlands, and dry to mesic forests of a southern affinity. Mostly in dry rocky sites and when abundant perhaps indicating that the soils are calcareous or not very acidic.",Tree,Perennial,,
6296,Accepted Name,carya ovata var. ovata,shagbark hickory,Y,,7,N,Y,,,FACU,FACU,S5,,Vascular,"Of the hickories that occur in New York, Carya ovata grows in the widest range of forested habitats. It occurs with C. glabra in dry to mesic warm forests of a southern affinity, with C. cordiformis in low bottomland forests, as well as in rich mesic forests, dry calcareous forests, and sometimes on hummocks in swamps.",Tree,Perennial,,
1634,Accepted Name,carya tomentosa,mockernut hickory,Y,,7,N,Y,,,,,S5,G5,Vascular,Mesic to dry-mesic forests of a southern affinity.,Tree,Perennial,,
1509,Accepted Name,castanea dentata,American chestnut,Y,,6,N,Y,,,,,S4,G4,Vascular,"Dry to mesic forests often associated with Quercus spp. The introduced chestnut blight kills the trees and mature trees are now rather scattered and rare. Still, stump sprouts and small trees are not uncommon although they soon become infested with the blight.",Tree,Perennial,,
524,Accepted Name,caulophyllum thalictroides,"blue cohosh, late blue cohosh",Y,,7,N,Y,,,,,S5,G4G5,Vascular,Rich mesic forests. These forests often have a diverse and dense herbaceous layer.,Forb/herb,Perennial,,
2618,Accepted Name,ceanothus americanus,New Jersey tea,Y,,7,N,Y,,,,,S5,G5,Vascular,"Edges of hardwoods forests, openings in forests, exposed rims of cliffs, utility rights-of-way, and roadside banks in dry-mesic thin often rocky or sandy circumneutral to calcareous soils.","Subshrub, Shrub",Perennial,,
795,Accepted Name,celastrus scandens,American bittersweet,Y,,7,N,Y,Rare-State,,FACU,FACU,S4,G5,Vascular,"Edges of forests and thickets, young forests, and eroding stream banks. Perhaps becoming less common as the non-native aggressive C. orbiculata becomes more common.",Vine,Perennial,,
3048,Accepted Name,celtis occidentalis,northern hackberry,Y,,7,N,Y,,,FACU,FAC,S4,G5,Vascular,"Bottomland forests, rocky slopes, talus slopes, and rock outcrops on mesic to dry calcareous bedrock or soils.","Tree, Shrub",Perennial,,
2295,Accepted Name,cenchrus longispinus,long-spined sandbur,Y,,5,N,Y,,,UPL,UPL,S5,G5,Vascular,,Graminoid,Annual,,
2291,Accepted Name,cenchrus tribuloides,dune sandbur,Y,,7,N,Y,Threatened-State,,UPL,UPL,S2,G5,Vascular,,Graminoid,Annual,,
1405,Accepted Name,chamaecrista fasciculata var. fasciculata,partridge pea,Y,,1,N,Y,,,FACU,FACU,SNR,G5,Vascular,,Forb/herb,Annual,,
6540,Accepted Name,chamaecrista nictitans var. nictitans,wild sensitive plant,Y,,1,N,Y,,,FACU,FACU,S4S5,,Vascular,"Rocky summits, woodlands, thin forests, railroad edges, gravel pits, and disturbed soils. Mostly in open acidic sites with thin dry soils. If a lot of available habitat is present it can form extensive patches.",Herbaceous,Perennial,,
925,Accepted Name,chamaecyparis thyoides,Atlantic white cedar,Y,,10,N,Y,Threatened-State,,OBL,OBL,S2,G4,Vascular,Acidic swamps mostly restricted to the coast but also occurring in a few inland sites. Often forms dense monospecific stands.,Tree,Perennial,,
840,Accepted Name,chenopodium berlandieri var. macrocalycium,large-calyxed goosefoot,Y,,10,N,Y,Endangered-State,,,,S1S2,G4,Vascular,,Forb/herb,Annual,,
803,Accepted Name,chenopodium standleyanum,Standley’s goosefoot,Y,,,N,Y,,,,,S1S3,G5,Vascular,,Forb/herb,Annual,,
1347,Accepted Name,chimaphila maculata,spotted wintergreen,Y,,7,N,Y,,,,,S4,G5,Vascular,Dry sandy or coarse soils in hardwood forests. Less frequently in more mesic forests or hummocks in swamps.,"Subshrub, Shrub",Perennial,,
1962,Accepted Name,circaea canadensis,eastern enchanter’s nightshade,Y,,5,N,Y,,,FACU,FACU,S5,G5T5,Vascular,"Mesic forests and thickets. Somewhat weedy, it does well on edges of paths and in disturbed soils in forests.",Forb/herb,Perennial,,
6346,Accepted Name,claytonia virginica,eastern spring beauty,Y,,7,N,Y,,,FAC,FACU,S5,,Vascular,Forests and forest edges in dry-mesic to mesic often calcareous soils. Usually in drier sites with thinner soils than the related Claytonia caroliniana.,Herbaceous,Perennial,,
2559,Accepted Name,clematis virginiana,virgin’s bower,Y,,3,N,Y,,,FAC,FAC,S5,G5,Vascular,"Riparian forests and thickets, rich fens, shrub swamps, wet-mesic hedgerows, and wet thickets.","Vine, Subshrub",Perennial,,
852,Accepted Name,clethra alnifolia,coastal sweet pepperbush,Y,,7,N,Y,,,FAC,FAC,S5,G5,Vascular,"Edges of acidic ponds, acidic sphagnum wetlands, and bog edges. Often with other shrubs including Rhododendron viscosum",Shrub,Perennial,,
1680,Accepted Name,collinsonia canadensis,"stoneroot, horsebalm",Y,,7,N,Y,,,FAC,FAC,S5,G5,Vascular,"Rich mesic hardwood forests, edges of streams, and low thickets. Sometimes in slightly, at least seasonally, wet soils.",Forb/herb,Perennial,,
876,Accepted Name,commelina erecta,erect dayflower,Y,,10,N,N,,,FAC,UPL,SX,G5,Vascular,,Forb/herb,Perennial,,
1923,Accepted Name,comptonia peregrina,sweet fern,Y,,6,N,Y,,,,,S5,G5,Vascular,"Barrens, rocky summits, woodlands, fields and clearings, open heathlands, roadsides, and utility rights-of-way. A plant of open dry thin acidic soils.","Subshrub, Shrub",Perennial,,
2027,Accepted Name,corallorhiza odontorhiza var. odontorhiza,autumn coralroot,Y,,8,N,Y,,,,,S4,G5T5,Vascular,Mesic hardwood forests.,Forb/herb,Perennial,,
888,Accepted Name,cornus alternifolia,"pagoda dogwood, alternate-leaved dogwood",Y,,7,N,Y,,,FAC,FACU,S5,G5,Vascular,"Understories of mesic, usually somewhat rich forests.","Tree, Shrub",Perennial,,
6591,Accepted Name,cornus florida,flowering dogwood,Y,,7,N,Y,,,FACU,FACU,S4S5,,Vascular,"Understories of hardwood forests, forest edges, and woodlands in mesic to dry soils. Also in cultivation.",Tree,Perennial,,
895,Accepted Name,cornus racemosa,"gray dogwood, red-panicled dogwood",Y,,2,N,Y,,,FAC,FAC,S5,G5?,Vascular,"Old fields, shrub thickets, shrub swamps, hummocks in swamps, and hedgerows. Occurs both in uplands and wetlands.","Tree, Shrub",Perennial,,
543,Accepted Name,corylus americana,American hazelnut,Y,,6,N,Y,,,FACU,FACU,S5,G5,Vascular,"Edges of swamps, alluvial thickets, and weedy thickets.",Shrub,Perennial,,
2718,Accepted Name,crataegus coccinioides,Kansas hawthorn,Y,,2,N,Y,,,,,SNR,G4?,Vascular,,Shrub,Perennial,,
